metric,value,source,note
涨停数,80,eastmoney:stock_zt_pool_em,
连板家数,10,eastmoney:stock_zt_pool_em,
最高连板,4,eastmoney:stock_zt_pool_em,
涨停封板资金,81.13,eastmoney:stock_zt_pool_em,亿元
炸板数,19,eastmoney:stock_zt_pool_zbgc_em,
跌停数,7,eastmoney:stock_zt_pool_dtgc_em,
炸板率,19.19,derived:eastmoney_limit_pools,%
封板率,80.81,derived:eastmoney_limit_pools,%
近N日样本数,5,derived:market_breadth_history,
近几日涨停均值,75.5,derived:market_breadth_history,
近几日炸板率均值,34.15,derived:market_breadth_history,%
近几日跌停均值,24.5,derived:market_breadth_history,
近几日最高连板均值,3.75,derived:market_breadth_history,
涨停趋势差,4.5,derived:market_breadth_history,
炸板率趋势差,-14.96,derived:market_breadth_history,%
跌停趋势差,-17.5,derived:market_breadth_history,
连板高度趋势差,0.25,derived:market_breadth_history,
